CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2011
"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"140010 Boa Vista";3;-;1;2;-;37;1;56;73;-;2;2;3;-;3;2;3;-;-;-;1;2;14;3;-;2;-;7;-;217
"140015 Bonfim";-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;6;-;-;-;1;-;-;1;-;-;-;2;-;14
"140017 Cantá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;1;-;-;-;1;-;21
"140020 Caracaraí";-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;17;-;-;-;1;-;-;1;1;-;-;-;-;25
"140023 Caroebe";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;1;-;-;-;-;7
"140028 Iracema";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;4
"140030 Mucajaí";-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;11
"140040 Normandia";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;1;-;-;-;-;17
"140045 Pacaraima";-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;6;-;-;-;-;1;-;2;-;-;-;-;-;12
"140047 Rorainópolis";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;7;-;-;-;1;-;-;1;-;-;-;1;-;12
"140050 São João da Baliza";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"140060 São Luiz";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;6
"140070 Uiramutã";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;2;-;-;-;-;-;-;-;10
"150010 Abaetetuba";-;-;1;2;-;19;-;1;13;-;-;1;4;-;1;2;25;-;-;-;1;-;8;-;-;-;1;2;-;81
"150013 Abel Figueiredo";-;-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;7
