CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2017
"Município";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"316730 Silveirânia";1;-;-;-;3;1;-;-;-;1;2;-;-;-;-;-;-;-;8
"316740 Silvianópolis";-;1;-;1;4;3;1;-;1;1;5;-;1;-;-;-;-;1;19
"316750 Simão Pereira";-;-;-;2;3;1;-;-;-;1;4;-;2;-;-;-;-;-;13
"316760 Simonésia";1;1;-;5;12;-;-;-;2;1;9;-;2;-;-;-;-;3;36
"316770 Sobrália";-;2;-;2;5;1;1;-;1;1;2;-;2;-;-;-;1;-;18
"316780 Soledade de Minas";-;-;-;-;4;-;-;-;-;-;5;-;-;-;-;-;1;1;11
"316790 Tabuleiro";1;1;-;1;4;2;1;-;2;1;3;-;1;-;-;-;-;-;17
"316800 Taiobeiras";5;8;-;30;44;15;2;1;-;6;29;2;10;-;-;-;2;5;159
"316805 Taparuba";1;2;-;1;4;2;-;-;1;1;3;-;-;-;-;-;-;-;15
"316810 Tapira";-;-;-;1;3;4;-;-;1;-;-;-;1;-;-;-;-;-;10
"316820 Tapiraí";-;1;-;-;1;1;-;-;-;1;2;-;3;-;-;-;-;-;9
"316830 Taquaraçu de Minas";-;1;-;1;4;2;-;-;1;-;2;-;-;-;-;-;-;1;12
"316840 Tarumirim";2;4;-;1;9;4;-;-;1;3;8;1;2;-;-;-;-;-;35
"316850 Teixeiras";1;2;-;2;8;3;-;-;2;2;7;2;1;-;-;-;1;-;31
"316860 Teófilo Otoni";30;28;4;118;249;62;14;13;11;24;142;20;70;4;9;-;66;17;881
"316870 Timóteo";9;4;1;32;48;14;12;-;8;11;52;9;24;1;2;-;13;8;248
"316880 Tiradentes";-;-;-;2;5;3;-;-;2;1;3;-;2;-;-;-;-;1;19
"316890 Tiros";-;1;-;1;8;4;-;-;3;2;8;-;3;-;-;-;-;-;30
"316900 Tocantins";1;2;-;-;7;7;3;-;5;3;12;-;6;-;-;-;-;1;47
"316905 Tocos do Moji";-;-;-;3;4;1;-;1;-;1;5;-;-;-;-;-;-;-;15
"316910 Toledo";-;2;-;1;3;1;1;1;2;-;2;1;1;-;-;-;-;-;15
"316920 Tombos";3;2;-;6;16;7;2;1;2;3;9;2;3;-;-;-;1;4;61
"316930 Três Corações";13;7;-;32;57;50;13;5;8;13;104;13;39;-;-;1;29;8;392
"316935 Três Marias";3;3;-;18;18;9;1;1;6;4;8;2;8;-;-;-;2;1;84
"316940 Três Pontas";5;10;3;34;53;28;6;5;3;13;74;9;30;-;3;-;24;15;315
"316950 Tumiritinga";-;2;-;1;4;2;1;-;2;1;3;-;-;-;-;-;-;-;16
"316960 Tupaciguara";7;2;-;7;14;9;2;1;3;5;15;1;9;3;1;-;7;7;93
"316970 Turmalina";1;3;-;8;24;8;1;-;3;3;16;2;5;-;-;-;-;4;78
"316980 Turvolândia";2;-;-;-;3;1;-;-;2;1;3;-;2;-;-;-;-;-;14
"316990 Ubá";19;24;-;132;122;50;11;-;8;18;49;14;33;2;6;-;52;7;547
"317000 Ubaí";-;1;-;1;6;2;-;-;4;1;5;-;1;-;-;-;-;1;22
"317005 Ubaporanga";1;1;-;2;7;-;-;-;2;-;2;-;-;-;-;-;-;-;15
"317010 Uberaba";72;68;29;267;630;230;55;84;49;58;236;140;207;15;48;-;499;202;2889
"317020 Uberlândia";208;89;39;404;793;314;53;153;68;95;860;202;405;32;42;1;965;105;4828
"317030 Umburatiba";-;-;-;-;4;-;-;-;1;1;1;-;1;-;-;-;-;-;8
"317040 Unaí";11;8;-;33;64;19;10;4;11;6;49;7;25;-;4;-;18;15;284
"317043 União de Minas";-;4;-;4;5;2;-;-;-;1;2;-;2;-;-;-;-;1;21
"317047 Uruana de Minas";-;-;-;1;4;1;-;-;-;1;2;-;-;-;-;-;-;-;9
"317050 Urucânia";1;1;-;2;3;3;-;-;1;1;4;-;-;-;-;-;-;-;16
"317052 Urucuia";1;-;-;3;11;2;1;-;1;1;3;-;2;-;-;-;-;1;26
"317057 Vargem Alegre";-;2;-;1;7;3;-;-;-;-;2;-;-;-;-;-;-;-;15
"317060 Vargem Bonita";-;2;-;-;2;2;-;-;1;-;2;-;-;-;-;-;-;-;9
"317065 Vargem Grande do Rio Pardo";-;1;-;2;5;1;-;-;-;2;2;-;1;-;-;-;-;-;14
"317070 Varginha";20;22;3;158;166;88;16;6;13;27;145;24;77;1;3;1;96;33;899
"317075 Varjão de Minas";-;2;-;2;3;4;-;-;3;1;2;-;2;-;-;-;-;1;20
"317080 Várzea da Palma";3;8;-;6;23;5;3;-;11;4;19;1;3;-;-;-;1;3;90
"317090 Varzelândia";4;4;-;1;12;5;2;-;6;2;8;-;2;-;-;-;-;2;48
"317100 Vazante";2;5;-;15;23;5;1;-;3;2;21;-;4;-;-;-;2;4;87
"317103 Verdelândia";-;1;-;-;4;2;-;-;2;1;3;-;1;-;1;-;-;-;15
"317107 Veredinha";1;1;-;-;6;2;1;-;2;1;3;-;1;-;-;-;-;-;18
"317110 Veríssimo";1;-;-;1;3;1;-;-;1;-;4;-;1;-;-;-;-;-;12
"317115 Vermelho Novo";-;-;-;-;3;3;-;-;1;2;3;-;2;-;-;-;-;-;14
"317120 Vespasiano";5;11;1;62;77;15;4;3;33;4;66;16;21;2;-;1;10;6;337
"317130 Viçosa";14;11;2;50;66;45;7;5;20;31;113;12;52;2;1;-;44;16;491
"317140 Vieiras";1;-;-;1;3;2;1;-;1;1;4;-;-;-;-;-;-;-;14
"317160 Virgem da Lapa";1;1;-;3;11;4;1;-;3;1;4;-;2;-;-;-;-;1;32
"317170 Virgínia";1;2;-;-;4;2;-;-;2;1;5;-;1;-;-;-;1;-;19
"317180 Virginópolis";-;1;-;4;6;3;-;-;2;1;10;-;2;-;-;-;-;-;29
"317190 Virgolândia";1;1;-;3;4;1;1;-;-;2;3;-;1;-;-;-;-;-;17
"317200 Visconde do Rio Branco";5;6;-;19;24;22;1;-;6;5;26;4;10;-;-;-;7;5;140
"317210 Volta Grande";1;1;-;-;7;2;1;-;2;-;3;-;-;-;-;-;-;2;19
"317220 Wenceslau Braz";-;-;-;-;2;-;-;-;1;-;2;-;1;-;-;-;-;-;6
"320010 Afonso Cláudio";3;2;-;18;24;9;2;-;15;4;19;2;4;1;-;-;14;5;122
"320016 Água Doce do Norte";2;1;-;1;6;3;1;-;3;-;5;-;2;-;1;-;-;-;25
"320013 Águia Branca";2;3;-;1;10;2;1;1;3;-;5;1;2;-;-;-;-;1;32
"320020 Alegre";3;3;1;31;31;9;1;2;15;1;16;4;7;-;1;-;16;-;141
"320030 Alfredo Chaves";3;3;-;6;17;4;2;1;5;1;11;1;4;-;-;-;3;1;62
"320035 Alto Rio Novo";-;-;-;5;5;3;-;-;3;-;3;-;1;-;-;-;-;-;20
"320040 Anchieta";12;5;-;35;44;19;7;2;6;5;38;7;15;2;4;-;15;16;232
"320050 Apiacá";2;1;-;9;9;3;1;1;2;1;5;-;3;-;-;-;1;1;39
"320060 Aracruz";9;29;1;56;92;24;14;8;13;10;77;16;23;2;6;-;54;13;447
"320070 Atilio Vivacqua";1;3;-;4;16;4;1;2;1;1;11;2;1;1;-;-;1;2;51
"320080 Baixo Guandu";6;10;2;15;26;11;3;6;7;5;21;8;6;1;1;-;10;2;140
"320090 Barra de São Francisco";3;6;8;25;33;10;3;5;9;5;27;7;6;-;5;-;18;1;171
"320100 Boa Esperança";1;3;-;13;11;6;2;-;5;-;8;-;1;1;-;-;1;-;52
"320110 Bom Jesus do Norte";1;2;-;7;9;8;-;-;4;2;6;1;2;1;-;-;4;-;47
"320115 Brejetuba";2;-;-;5;10;2;2;-;5;2;6;2;4;-;3;-;6;-;49
"320120 Cachoeiro de Itapemirim";29;63;13;141;272;104;27;35;37;33;122;65;56;9;23;-;211;29;1269
"320130 Cariacica";46;33;11;133;243;55;28;65;21;22;126;94;35;31;13;1;263;43;1263
"320140 Castelo";9;7;-;27;26;12;3;-;4;6;39;2;7;-;2;-;5;2;151
"320150 Colatina";28;28;11;83;165;77;21;26;20;28;114;44;38;8;11;1;240;17;960
"320160 Conceição da Barra";1;1;-;9;20;5;3;-;5;3;7;1;4;-;1;-;1;2;63
"320170 Conceição do Castelo";1;1;-;3;6;2;-;1;1;2;7;1;1;1;-;-;1;-;28
"320180 Divino de São Lourenço";1;1;-;-;6;1;1;-;-;1;3;-;1;-;-;-;1;2;18
"320190 Domingos Martins";6;9;3;55;29;14;4;3;3;2;29;14;10;1;3;-;15;6;206
"320200 Dores do Rio Preto";1;2;-;5;8;2;1;1;-;1;7;1;2;-;-;-;2;-;33
"320210 Ecoporanga";2;1;1;4;14;4;-;-;6;2;14;2;1;-;-;-;-;5;56
"320220 Fundão";3;2;-;12;24;5;3;2;5;2;4;3;5;3;1;-;1;6;81
"320225 Governador Lindenberg";2;10;-;10;10;6;1;-;1;1;6;2;2;-;-;-;-;3;54
"320230 Guaçuí";3;6;-;16;37;14;4;2;6;7;28;1;12;1;1;-;14;2;154
"320240 Guarapari";10;9;5;22;71;37;13;8;15;8;54;31;21;2;3;-;51;37;397
"320245 Ibatiba";-;2;-;18;16;6;2;-;2;2;25;4;2;-;-;-;2;2;83
"320250 Ibiraçu";-;-;-;6;7;4;1;-;4;-;5;-;2;-;-;-;1;2;32
"320255 Ibitirama";-;1;-;5;11;1;1;-;3;1;3;-;-;-;-;-;-;-;26
"320260 Iconha";1;3;-;5;7;3;1;-;4;2;8;-;2;-;-;-;3;2;41
"320265 Irupi";1;-;-;4;6;2;-;-;2;-;12;-;1;-;-;-;-;-;28
"320270 Itaguaçu";-;-;-;3;10;4;-;-;1;1;6;2;1;-;-;-;-;-;28
"320280 Itapemirim";7;12;2;16;45;15;3;3;1;11;19;6;9;-;3;-;7;8;167
"320290 Itarana";1;1;-;3;6;4;1;1;4;1;10;2;3;-;-;-;1;1;39
"320300 Iúna";2;3;-;6;20;8;3;1;6;3;15;1;6;-;-;-;4;1;79
"320305 Jaguaré";2;3;1;27;26;5;1;1;5;2;18;3;5;1;2;-;5;-;107
"320310 Jerônimo Monteiro";2;3;2;8;12;7;-;-;2;4;11;-;3;-;1;-;1;1;57
"320313 João Neiva";3;4;-;11;10;4;1;5;2;1;12;2;6;-;1;-;6;3;71
"320316 Laranja da Terra";-;1;-;3;9;3;-;1;3;1;5;-;1;-;-;-;-;2;29
"320320 Linhares";29;30;12;66;152;65;12;25;20;21;181;33;49;3;9;-;106;42;855
"320330 Mantenópolis";2;-;-;4;11;5;1;-;1;2;8;-;2;-;-;-;-;-;36
"320332 Marataízes";-;5;-;4;26;9;5;-;4;4;16;1;8;-;-;-;3;5;90
"320334 Marechal Floriano";1;2;-;3;18;5;-;1;5;1;9;2;1;-;-;-;3;1;52
"320335 Marilândia";1;1;-;4;9;4;1;-;4;2;10;1;2;-;-;-;-;3;42
"320340 Mimoso do Sul";2;4;-;5;28;9;3;-;7;2;17;3;6;-;1;-;4;-;91
"320350 Montanha";1;3;-;13;26;8;-;-;1;2;14;2;2;-;1;-;3;-;76
"320360 Mucurici";-;2;-;4;11;2;-;-;1;1;3;-;-;-;-;-;-;-;24
"320370 Muniz Freire";1;4;-;3;15;3;2;-;3;2;9;1;3;1;-;-;-;2;49
"320380 Muqui";1;3;-;-;12;2;1;-;1;2;11;-;3;-;1;-;-;3;40
"320390 Nova Venécia";6;9;-;28;30;12;3;2;10;4;38;3;16;2;-;-;6;1;170
"320400 Pancas";2;2;-;4;14;3;1;1;3;1;11;-;2;-;2;-;1;1;48
"320405 Pedro Canário";1;2;-;13;15;4;1;-;1;1;7;3;1;-;1;-;1;2;53
"320410 Pinheiros";1;3;-;6;8;2;-;-;5;1;11;2;2;-;-;-;3;1;45
"320420 Piúma";2;-;-;9;18;9;-;-;1;3;6;1;7;1;-;-;1;3;61
"320425 Ponto Belo";-;1;-;-;7;4;1;-;1;1;3;-;1;-;-;-;1;-;20
"320430 Presidente Kennedy";3;15;-;2;20;10;2;-;3;3;10;1;2;-;-;-;2;3;76
"320435 Rio Bananal";1;2;-;2;11;7;2;-;4;1;14;-;3;-;-;-;-;1;48
"320440 Rio Novo do Sul";2;2;-;4;10;1;-;-;4;1;7;-;2;-;-;-;-;1;34
"320450 Santa Leopoldina";1;1;-;4;8;2;-;-;3;-;5;1;-;-;1;-;-;1;27
"320455 Santa Maria de Jetibá";3;4;2;14;24;10;4;-;10;5;26;3;9;-;1;-;4;5;124
"320460 Santa Teresa";4;9;-;23;31;12;1;3;2;4;26;3;8;2;1;-;4;4;137
"320465 São Domingos do Norte";2;3;-;2;7;2;-;-;3;1;3;-;1;-;-;-;-;1;25
"320470 São Gabriel da Palha";-;21;-;8;18;7;1;1;10;5;23;2;3;-;1;-;4;5;109
"320480 São José do Calçado";8;6;3;9;17;9;1;5;3;3;13;4;3;1;-;-;25;2;112
"320490 São Mateus";18;19;3;67;118;19;9;6;23;8;51;15;17;1;7;-;60;14;455
"320495 São Roque do Canaã";-;1;-;3;7;3;-;-;2;1;6;-;-;-;-;-;-;1;24
"320500 Serra";87;64;59;339;566;150;28;108;38;31;295;153;91;8;47;-;571;31;2666
"320501 Sooretama";1;3;-;8;8;3;-;-;2;1;1;-;1;-;-;-;-;3;31
"320503 Vargem Alta";2;2;-;6;11;1;-;-;5;2;7;-;2;-;-;-;1;1;40
"320506 Venda Nova do Imigrante";4;7;-;12;31;10;2;5;5;4;21;6;10;-;1;-;7;3;128
"320510 Viana";8;4;-;13;59;7;4;1;24;2;22;3;10;-;-;-;6;5;168
"320515 Vila Pavão";-;3;-;-;5;3;-;-;2;1;-;-;1;-;-;-;-;-;15
"320517 Vila Valério";2;1;-;3;9;4;-;-;4;-;6;-;-;-;-;-;-;1;30
"320520 Vila Velha";89;94;24;292;417;246;51;61;33;67;436;168;115;14;30;2;493;41;2673
"320530 Vitória";178;187;58;285;1088;315;83;91;62;93;641;209;245;40;40;2;984;106;4707
"330010 Angra dos Reis";37;25;13;139;227;107;32;39;38;30;210;78;48;6;16;3;143;36;1227
"330015 Aperibé";2;1;-;6;16;11;4;-;1;2;11;2;6;-;2;-;7;3;74
"330020 Araruama";20;8;11;30;83;53;21;18;13;16;39;37;29;9;22;-;126;22;557
"330022 Areal";-;3;-;14;14;15;2;-;2;1;12;3;5;-;1;-;7;3;82
"330023 Armação dos Búzios";5;2;7;32;45;28;8;15;7;5;20;22;12;5;3;-;43;13;272
"330025 Arraial do Cabo";3;4;3;16;35;25;2;10;3;4;14;8;7;2;-;-;15;7;158
"330030 Barra do Piraí";16;8;3;66;68;30;16;12;8;13;56;29;36;5;9;-;98;14;487
"330040 Barra Mansa";21;14;10;103;199;70;38;28;25;29;108;63;58;5;22;-;199;43;1035
"330045 Belford Roxo";52;27;4;81;162;98;26;23;9;26;69;66;62;6;21;-;129;47;908
"330050 Bom Jardim";1;2;4;10;15;10;2;4;6;2;11;10;12;-;2;-;10;2;103
"330060 Bom Jesus do Itabapoana";17;6;1;40;34;37;10;6;9;9;40;9;20;3;2;-;40;5;288
"330070 Cabo Frio";35;16;13;147;277;116;18;44;25;21;102;87;62;14;19;-;155;29;1180
"330080 Cachoeiras de Macacu";20;7;9;55;50;32;9;9;2;14;39;20;17;2;6;-;32;6;329
"330090 Cambuci";5;4;-;16;19;7;2;-;4;2;12;3;3;1;-;-;5;2;85
"330100 Campos dos Goytacazes";172;95;38;363;742;392;69;112;17;65;546;200;184;16;44;2;481;90;3628
"330110 Cantagalo";5;3;3;7;18;9;1;2;4;5;18;4;6;2;1;-;9;6;103
"330093 Carapebus";11;2;-;9;24;16;4;2;2;5;21;6;7;1;2;-;11;4;127
"330115 Cardoso Moreira";1;2;-;4;14;10;2;-;1;2;7;3;2;1;1;-;2;1;53
"330120 Carmo";4;3;-;15;26;16;3;1;2;3;18;5;7;2;1;1;19;5;131
"330130 Casimiro de Abreu";10;9;1;25;71;33;3;9;6;6;29;8;13;1;1;-;11;13;249
"330095 Comendador Levy Gasparian";2;1;-;7;11;10;2;1;2;2;6;3;6;2;1;-;6;3;65
"330140 Conceição de Macabu";6;5;-;11;17;10;2;1;3;2;8;1;7;-;-;-;6;5;84
"330150 Cordeiro";4;3;-;14;27;19;7;2;1;6;16;3;13;-;2;-;16;4;137
"330160 Duas Barras";2;2;-;9;9;9;1;-;-;2;13;1;2;-;1;-;4;1;56
"330170 Duque de Caxias";151;104;69;420;976;321;131;237;75;156;325;461;113;36;81;1;791;124;4572
"330180 Engenheiro Paulo de Frontin";2;1;1;5;11;10;2;1;4;2;10;1;5;2;-;-;6;2;65
"330185 Guapimirim";15;4;5;22;53;20;5;11;8;6;14;19;15;3;5;-;29;15;249
"330187 Iguaba Grande";7;3;-;8;22;11;2;1;8;1;11;2;7;1;-;-;3;5;92
"330190 Itaboraí";47;27;14;125;244;79;16;38;28;39;67;57;51;6;16;-;148;29;1031
"330200 Itaguaí";25;25;10;73;121;96;43;23;10;21;84;54;59;10;12;-;102;21;789
"330205 Italva";4;2;-;14;11;10;1;1;1;1;4;1;5;-;-;-;7;2;64
"330210 Itaocara";7;3;-;22;25;13;3;-;4;2;21;4;9;-;2;-;5;4;124
"330220 Itaperuna";22;23;6;139;130;151;32;10;7;27;91;21;48;4;12;-;121;29;873
"330225 Itatiaia";7;2;2;27;35;21;2;8;4;6;23;12;16;3;1;-;20;8;197
"330227 Japeri";15;6;-;25;43;17;4;7;10;9;18;12;16;-;-;-;19;13;214
"330230 Laje do Muriaé";1;1;-;6;6;2;-;-;1;1;1;1;1;-;-;-;1;2;24
"330240 Macaé";99;34;20;152;254;175;51;51;23;61;315;74;105;13;16;-;276;62;1781
"330245 Macuco";2;-;-;4;5;3;-;-;2;2;2;-;1;-;-;-;-;-;21
"330250 Magé";30;16;3;77;145;68;10;16;18;17;68;20;26;3;4;-;67;27;615
"330260 Mangaratiba";8;5;2;46;54;30;11;5;6;7;23;10;17;-;1;-;22;5;252
"330270 Maricá";31;14;12;80;157;51;20;20;21;25;72;44;55;3;7;-;61;32;705
"330280 Mendes";4;5;-;14;14;7;3;1;5;2;16;-;10;-;-;-;7;4;92
"330285 Mesquita";17;18;-;51;217;55;12;51;14;10;30;57;25;1;2;-;21;18;599
"330290 Miguel Pereira";3;7;1;20;20;15;6;7;2;2;18;11;13;1;1;-;21;10;158
"330300 Miracema";8;3;-;28;23;15;3;-;4;2;21;3;10;-;3;-;12;5;140
"330310 Natividade";5;4;-;7;25;11;9;-;2;4;16;2;7;-;1;-;9;5;107
"330320 Nilópolis";28;15;11;74;128;38;6;30;21;13;97;62;24;2;11;-;118;25;703
"330330 Niterói";163;161;87;555;1131;463;172;197;86;174;637;352;435;76;106;4;1490;200;6489
"330340 Nova Friburgo";16;24;11;108;168;78;28;30;29;22;127;47;65;12;14;-;176;35;990
"330350 Nova Iguaçu";57;54;38;336;612;195;44;110;50;46;302;179;106;5;43;1;431;89;2698
"330360 Paracambi";3;7;-;23;47;29;3;2;5;4;20;14;24;3;-;-;14;11;209
"330370 Paraíba do Sul";8;11;4;28;57;28;12;4;10;7;36;9;17;1;7;-;52;11;302
"330380 Paraty";6;8;3;25;33;10;2;5;5;3;14;13;9;1;1;-;16;9;163
"330385 Paty do Alferes";3;3;-;6;18;7;2;1;6;2;18;-;6;1;-;-;5;7;85
"330390 Petrópolis";27;26;26;270;309;221;48;70;23;45;159;118;128;18;23;1;404;27;1943
"330395 Pinheiral";6;3;-;24;27;17;4;5;5;7;18;7;13;4;-;-;7;11;158
"330400 Piraí";3;3;-;22;36;15;1;1;10;6;28;3;9;1;2;-;13;5;158
"330410 Porciúncula";5;2;-;8;19;13;3;1;4;3;14;2;7;-;-;-;4;6;91
"330411 Porto Real";6;2;2;14;27;11;2;7;3;4;32;14;10;1;2;-;14;10;161
"330412 Quatis";6;2;-;6;15;7;1;-;3;2;11;2;7;3;1;-;7;5;78
"330414 Queimados";12;6;-;34;59;22;11;7;10;9;31;12;26;1;1;-;34;11;286
"330415 Quissamã";3;3;1;12;41;10;1;1;5;7;4;5;9;-;-;-;3;4;109
"330420 Resende";30;20;13;84;178;90;32;17;13;24;153;33;85;8;12;-;107;27;926
"330430 Rio Bonito";14;4;10;20;69;25;14;6;12;11;58;12;18;-;2;-;37;16;328
"330440 Rio Claro";3;1;1;6;34;5;4;1;5;3;9;3;4;1;1;-;2;5;88
"330450 Rio das Flores";2;2;-;3;10;5;1;-;2;-;11;1;2;1;-;-;4;5;49
"330452 Rio das Ostras";29;11;4;47;90;50;16;9;17;22;86;24;38;1;5;-;38;15;502
"330455 Rio de Janeiro";1071;1428;512;3984;12803;2478;686;1078;1378;1538;3642;1955;1890;464;709;63;10710;1278;47667
"330460 Santa Maria Madalena";-;2;-;3;8;3;-;-;1;1;5;-;1;-;-;-;-;2;26
"330470 Santo Antônio de Pádua";7;5;-;23;37;11;4;3;5;4;24;2;9;-;-;-;12;15;161
"330480 São Fidélis";10;5;-;11;25;19;1;1;3;2;12;1;4;1;1;-;5;3;104
"330475 São Francisco de Itabapoana";4;3;-;13;32;21;1;1;2;2;23;9;6;-;1;-;3;2;123
"330490 São Gonçalo";118;56;26;259;629;217;82;36;97;111;319;103;174;8;27;1;289;61;2613
"330500 São João da Barra";9;7;-;23;57;12;2;1;5;8;20;5;12;-;1;-;4;4;170
"330510 São João de Meriti";32;13;2;113;235;96;27;29;33;25;96;64;47;7;7;-;77;23;926
"330513 São José de Ubá";4;-;-;3;7;4;4;-;2;2;5;-;3;-;-;-;1;2;37
"330515 São José do Vale do Rio Preto";2;1;1;9;12;10;3;2;3;2;18;5;7;-;-;-;4;3;82
"330520 São Pedro da Aldeia";6;12;1;14;62;22;6;2;11;6;46;11;14;-;1;-;13;13;240
"330530 São Sebastião do Alto";1;2;-;4;7;3;1;-;3;2;2;1;3;-;-;-;1;1;31
"330540 Sapucaia";4;3;-;5;18;9;2;3;7;2;11;2;5;-;1;-;5;3;80
"330550 Saquarema";10;12;6;43;55;30;11;11;7;11;30;17;22;1;5;-;11;9;291
"330555 Seropédica";9;5;-;12;31;18;5;5;12;5;20;7;10;2;-;-;5;8;154
"330560 Silva Jardim";5;4;-;8;24;10;-;-;4;4;11;5;12;1;2;-;1;3;94
"330570 Sumidouro";1;1;-;2;17;6;1;-;2;1;10;-;5;-;1;-;3;4;54
"330575 Tanguá";7;2;-;5;9;2;1;1;2;3;9;2;5;1;-;-;2;7;58
"330580 Teresópolis";18;25;14;127;140;83;10;25;15;13;104;34;28;3;6;2;150;21;818
"330590 Trajano de Moraes";2;-;-;1;9;3;1;-;4;2;11;1;3;1;-;-;-;2;40
"330600 Três Rios";25;11;12;87;123;59;12;24;19;15;85;29;40;11;4;-;54;18;628
"330610 Valença";8;12;2;84;62;49;9;8;6;9;95;13;18;5;6;-;59;19;464
"330615 Varre-Sai";-;2;-;5;10;3;-;-;1;1;8;1;-;-;-;-;-;-;31
"330620 Vassouras";7;8;4;29;106;26;3;6;7;8;46;15;17;1;1;-;53;15;352
"330630 Volta Redonda";40;25;16;237;371;209;25;29;40;47;252;68;110;9;15;-;278;69;1840
"350010 Adamantina";11;7;-;46;57;27;8;8;12;14;26;4;31;-;4;-;30;10;295
"350020 Adolfo";-;4;-;-;4;6;3;1;1;-;3;2;2;-;-;-;-;1;27
"350030 Aguaí";1;7;-;28;20;8;5;2;7;3;17;2;13;2;8;-;8;8;139
"350040 Águas da Prata";1;-;-;8;6;1;1;1;1;1;5;1;1;1;1;-;7;2;38
"350050 Águas de Lindóia";4;2;-;26;14;6;4;-;3;5;10;5;6;-;1;1;6;1;94
"350055 Águas de Santa Bárbara";1;1;-;5;6;3;1;-;2;-;6;1;2;-;-;-;1;-;29
"350060 Águas de São Pedro";-;1;-;2;2;3;1;-;-;-;1;1;1;-;1;-;2;-;15
"350070 Agudos";7;9;-;54;34;24;4;7;11;3;32;13;11;4;3;-;26;22;264
"350075 Alambari";2;1;-;6;7;1;1;1;-;1;4;-;1;1;-;-;-;-;26
"350080 Alfredo Marcondes";1;1;-;1;3;2;-;-;2;-;3;1;1;-;-;-;-;-;15
"350090 Altair";-;-;-;9;6;3;1;-;-;1;4;1;1;-;-;-;1;-;27
"350100 Altinópolis";4;2;-;12;23;9;2;-;5;3;23;4;8;1;1;-;4;5;106
"350110 Alto Alegre";1;2;-;1;8;2;-;-;-;2;5;3;1;-;-;-;2;3;30
"350115 Alumínio";-;2;-;9;14;4;1;3;-;1;11;2;3;-;2;-;9;2;63
"350120 Álvares Florence";1;2;-;2;4;3;1;-;-;1;2;-;1;-;-;-;1;-;18
"350130 Álvares Machado";7;4;1;40;19;8;4;-;4;2;13;2;10;2;-;-;6;4;126
"350140 Álvaro de Carvalho";4;-;-;-;5;1;1;-;-;-;2;1;3;-;-;-;-;-;17
"350150 Alvinlândia";2;-;-;1;2;1;-;1;1;1;2;-;1;-;-;-;-;-;12
"350160 Americana";39;33;14;149;227;97;52;54;6;34;249;82;190;16;30;-;269;102;1643
"350170 Américo Brasiliense";10;14;6;50;106;21;8;6;2;11;23;15;13;2;3;-;43;23;356
"350180 Américo de Campos";1;4;-;2;6;3;1;-;3;-;5;-;1;-;-;-;-;-;26
"350190 Amparo";11;14;1;165;115;32;11;4;16;17;105;17;42;14;3;-;75;21;663
"350200 Analândia";1;1;-;2;5;1;-;-;-;-;4;-;-;-;-;-;-;1;15
"350210 Andradina";14;7;1;49;72;45;11;4;6;16;37;11;56;4;9;-;59;13;414
"350220 Angatuba";1;4;1;12;13;5;1;1;1;2;11;1;5;1;1;-;5;4;69
"350230 Anhembi";1;1;-;6;4;2;-;-;4;1;4;-;1;-;1;-;1;-;26
"350240 Anhumas";1;1;-;1;3;3;1;-;1;1;3;-;1;-;-;-;-;-;16
"350250 Aparecida";5;4;2;12;37;16;4;2;2;1;27;11;5;-;1;-;15;12;156
"350260 Aparecida d'Oeste";-;1;-;5;8;3;1;-;-;2;3;1;3;-;-;-;-;1;28
"350270 Apiaí";2;1;-;8;28;6;2;3;6;1;13;5;4;1;1;-;5;4;90
"350275 Araçariguama";4;2;-;10;24;10;2;3;-;1;9;4;5;1;-;-;10;3;88
"350280 Araçatuba";38;26;2;208;280;108;42;19;44;33;255;41;137;17;29;-;208;46;1533
"350290 Araçoiaba da Serra";2;3;-;29;30;4;2;3;3;-;6;8;15;-;3;-;13;4;125
"350300 Aramina";-;1;-;3;8;6;1;1;2;-;9;1;1;1;-;-;2;1;37
"350310 Arandu";1;2;-;4;10;4;-;-;-;1;5;2;2;-;-;-;5;3;39
"350315 Arapeí";-;1;1;3;5;1;1;1;-;-;4;1;1;-;-;-;-;-;19
"350320 Araraquara";32;67;3;209;331;164;55;36;32;27;385;56;129;16;16;1;271;96;1926
"350330 Araras";18;27;2;140;201;76;19;10;7;11;143;38;51;7;7;-;115;48;920
"350335 Arco-Íris";-;2;-;-;2;2;-;-;-;1;2;-;1;-;-;-;-;-;10
"350340 Arealva";1;3;-;5;11;4;1;1;2;2;8;-;2;1;-;-;1;1;43
"350350 Areias";1;1;-;5;6;1;1;-;1;-;3;1;1;-;1;-;-;1;23
"350360 Areiópolis";2;1;-;1;8;2;2;1;1;-;5;1;2;-;1;-;2;2;31
"350370 Ariranha";1;2;-;1;5;8;3;-;3;1;7;-;5;-;1;-;2;9;48
"350380 Artur Nogueira";7;5;-;17;41;16;5;2;15;3;43;11;13;4;6;-;32;12;232
