"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"130150 ENVIRA";"74,55";"70,30";"60,54";"61,92";"67,90";"107,71";"51,56";"71,13";"74,98";"70,99";"70,61"
"130160 FONTE BOA";"64,71";"64,81";"65,96";"63,19";"63,56";"75,97";"35,39";"41,75";"61,91";"59,75";"58,37"
"130165 GUAJARA";"56,76";"52,47";"57,65";"65,72";"87,93";"91,03";"33,71";"49,42";"63,79";"51,59";"60,29"
"130170 HUMAITA";"77,50";"68,99";"70,22";"59,71";"72,26";"78,02";"58,59";"78,35";"94,13";"106,23";"75,70"
"130180 IPIXUNA";"45,55";"42,30";"44,93";"37,64";"55,89";"52,34";"30,12";"51,53";"62,16";"61,45";"47,08"
"130185 IRANDUBA";"69,99";"87,94";"91,05";"68,33";"64,76";"73,87";"58,08";"81,06";"81,01";"98,16";"75,66"
"130190 ITACOATIARA";"79,72";"81,46";"82,94";"66,11";"72,81";"77,43";"40,74";"69,50";"73,14";"83,04";"70,80"
"130195 ITAMARATI";"83,34";"83,18";"101,61";"65,55";"77,57";"33,19";"41,43";"52,77";"56,50";"85,12";"63,84"
"130200 ITAPIRANGA";"91,39";"99,40";"88,35";"86,19";"84,77";"94,49";"78,07";"103,82";"86,25";"89,11";"89,51"
"130210 JAPURA";"88,50";"90,38";"90,84";"93,24";"83,82";"105,26";"58,48";"79,18";"82,17";"85,61";"83,32"
"130220 JURUA";"86,41";"82,94";"84,57";"71,06";"83,09";"86,13";"22,77";"59,30";"83,07";"58,69";"67,56"
"130230 JUTAI";"67,68";"76,79";"75,50";"72,08";"51,41";"45,39";"26,60";"53,35";"55,37";"57,46";"54,78"
"130240 LABREA";"65,27";"74,30";"67,67";"70,01";"82,13";"95,39";"50,21";"71,37";"80,92";"93,53";"73,73"
"130250 MANACAPURU";"77,77";"89,59";"73,96";"67,83";"89,72";"102,12";"13,92";"42,81";"56,73";"62,64";"65,48"
"130255 MANAQUIRI";"101,87";"135,62";"121,41";"104,83";"69,58";"86,15";"41,84";"82,72";"79,40";"68,82";"79,97"
"130260 MANAUS";"72,76";"83,35";"83,56";"64,73";"79,66";"98,23";"53,91";"73,28";"73,70";"81,07";"74,61"
"130270 MANICORE";"68,37";"87,06";"80,54";"66,30";"77,89";"103,40";"51,93";"74,37";"54,63";"66,88";"71,07"
"130280 MARAA";"71,23";"53,30";"52,98";"65,23";"53,46";"65,64";"27,39";"50,80";"79,45";"72,30";"57,77"
"130290 MAUES";"64,34";"65,44";"64,00";"61,01";"66,08";"87,94";"32,96";"53,44";"60,71";"62,13";"60,14"
"130300 NHAMUNDA";"80,54";"76,08";"70,69";"83,39";"84,63";"137,12";"40,72";"70,05";"80,99";"76,98";"78,16"
"130310 NOVA OLINDA DO NORTE";"83,80";"72,62";"69,46";"62,24";"76,65";"87,78";"35,10";"55,08";"67,22";"69,76";"67,21"
"130320 NOVO AIRAO";"52,75";"52,92";"54,78";"60,68";"71,02";"84,85";"37,83";"58,25";"66,44";"64,23";"58,88"
"130330 NOVO ARIPUANA";"49,08";"62,79";"54,76";"58,99";"69,75";"95,54";"38,91";"18,86";"47,13";"70,24";"55,84"
"130340 PARINTINS";"81,37";"83,99";"84,63";"76,10";"73,27";"99,09";"36,19";"82,96";"87,12";"72,87";"75,60"
"130350 PAUINI";"72,37";"71,65";"82,19";"55,77";"62,84";"85,01";"20,30";"47,52";"58,92";"54,81";"57,77"
"130353 PRESIDENTE FIGUEIREDO";"95,13";"100,15";"100,13";"80,34";"89,60";"94,36";"54,86";"80,89";"83,24";"90,80";"85,09"
"130356 RIO PRETO DA EVA";"91,24";"110,17";"95,75";"99,70";"82,52";"111,73";"41,43";"67,58";"66,43";"71,95";"79,45"
"130360 SANTA ISABEL DO RIO NEGRO";"63,25";"55,35";"68,34";"85,32";"61,78";"118,73";"45,19";"92,11";"98,29";"76,27";"73,12"
"130370 SANTO ANTONIO DO ICA";"76,79";"77,47";"84,33";"79,67";"82,31";"121,11";"52,55";"85,48";"91,58";"86,88";"81,81"
"130380 SAO GABRIEL DA CACHOEIRA";"56,74";"59,42";"73,97";"77,73";"80,53";"79,38";"48,93";"80,91";"86,39";"97,54";"72,78"
"130390 SAO PAULO DE OLIVENCA";"72,60";"71,25";"70,32";"75,40";"77,72";"112,11";"58,53";"85,57";"94,86";"87,27";"79,30"
"130395 SAO SEBASTIAO DO UATUMA";"85,79";"73,33";"76,94";"65,72";"87,89";"85,23";"35,58";"60,74";"72,15";"53,05";"69,01"
"130400 SILVES";"82,61";"99,47";"83,35";"89,26";"103,04";"88,08";"85,79";"117,22";"93,50";"71,22";"90,34"
"130406 TABATINGA";"72,23";"78,62";"85,79";"81,47";"84,35";"118,39";"56,40";"85,73";"88,64";"86,43";"82,24"
"130410 TAPAUA";"81,53";"78,01";"61,66";"70,89";"68,63";"84,06";"29,58";"72,58";"77,30";"74,35";"67,71"
"130420 TEFE";"81,21";"88,54";"83,00";"70,81";"72,12";"90,99";"34,62";"84,09";"94,77";"124,39";"79,75"
"130423 TONANTINS";"77,36";"88,43";"72,19";"93,47";"80,30";"124,40";"52,55";"87,68";"82,51";"69,29";"79,86"
"130426 UARINI";"73,85";"76,79";"61,47";"63,15";"87,80";"91,10";"38,69";"36,49";"78,81";"76,39";"67,11"
"130430 URUCARA";"70,84";"104,63";"78,32";"83,96";"102,40";"95,44";"61,21";"81,91";"89,62";"82,64";"83,41"
"130440 URUCURITUBA";"93,69";"67,14";"71,38";"77,49";"68,36";"87,94";"48,01";"68,98";"76,78";"82,61";"73,84"
"140002 AMAJARI";"71,44";"45,01";"57,68";"66,49";"84,75";"95,19";"63,73";"71,01";"75,69";"41,90";"68,04"
"140005 ALTO ALEGRE";"86,68";"68,29";"64,49";"106,64";"70,94";"79,20";"50,99";"48,46";"61,83";"49,31";"66,82"
"140010 BOA VISTA";"69,86";"89,74";"78,75";"60,80";"80,44";"112,37";"59,54";"95,24";"80,00";"89,72";"79,91"
"140015 BONFIM";"92,93";"65,30";"46,57";"50,07";"90,78";"93,46";"60,10";"104,24";"225,00";"60,36";"90,51"
"140017 CANTA";"64,44";"61,05";"78,49";"35,02";"50,42";"67,48";"30,78";"59,29";"42,15";"34,31";"50,30"
"140020 CARACARAI";"100,19";"102,87";"80,77";"78,35";"70,66";"83,93";"43,98";"87,70";"70,84";"70,15";"76,35"
"140023 CAROEBE";"83,77";"88,57";"53,22";"71,27";"115,03";"138,12";"59,18";"108,52";"133,26";"69,35";"88,79"
"140028 IRACEMA";"71,14";"58,15";"50,09";"92,74";"69,34";"102,38";"46,04";"82,82";"76,10";"65,67";"68,87"
"140030 MUCAJAI";"88,60";"77,70";"69,96";"61,17";"144,73";"91,07";"46,78";"81,93";"61,18";"63,68";"77,58"
"140040 NORMANDIA";"84,17";"80,85";"69,27";"42,22";"87,95";"81,81";"60,73";"90,71";"86,47";"41,27";"71,76"
"140045 PACARAIMA";"78,80";"79,76";"57,18";"42,25";"81,04";"106,10";"75,47";"91,52";"106,95";"145,20";"87,57"
"140047 RORAINOPOLIS";"84,64";"86,82";"88,45";"70,18";"107,90";"148,05";"53,71";"76,35";"65,52";"43,44";"79,50"
"140050 SAO JOAO DA BALIZA";"87,88";"94,40";"65,35";"60,55";"69,36";"80,51";"38,08";"90,05";"77,27";"64,86";"71,33"
"140060 SAO LUIZ";"83,41";"81,14";"31,43";"64,83";"82,66";"95,54";"55,92";"158,95";"90,07";"34,91";"74,77"
"140070 UIRAMUTA";"83,46";"78,01";"46,71";"39,88";"83,17";"92,34";"68,58";"74,98";"90,77";"52,72";"72,41"
"150010 ABAETETUBA";"74,25";"80,83";"83,54";"61,46";"90,17";"69,00";"46,99";"54,96";"48,10";"43,97";"64,62"
"150013 ABEL FIGUEIREDO";"75,23";"80,23";"71,32";"84,58";"75,02";"78,72";"65,61";"103,59";"101,34";"75,38";"79,92"
"150020 ACARA";"89,56";"104,08";"88,78";"54,99";"71,55";"71,99";"33,39";"60,70";"48,90";"56,67";"64,47"
"150030 AFUA";"73,97";"64,79";"52,59";"43,06";"35,11";"42,13";"20,71";"46,43";"47,58";"56,21";"46,60"
"150034 AGUA AZUL DO NORTE";"156,96";"119,92";"113,30";"91,71";"80,93";"130,86";"34,01";"51,13";"21,84";"23,83";"82,39"
"150040 ALENQUER";"78,83";"54,81";"70,48";"51,50";"67,79";"95,26";"49,10";"55,74";"59,75";"57,96";"64,40"
"150050 ALMEIRIM";"79,18";"87,22";"87,31";"77,12";"91,81";"90,92";"57,01";"69,31";"72,80";"62,69";"76,69"
"150060 ALTAMIRA";"79,16";"91,51";"87,89";"82,84";"91,79";"81,76";"41,34";"51,17";"66,95";"78,70";"71,16"
"150070 ANAJAS";"80,57";"86,02";"74,25";"73,60";"40,25";"68,95";"41,22";"62,75";"60,35";"78,24";"64,60"
"150080 ANANINDEUA";"81,69";"73,12";"68,27";"56,83";"73,30";"46,81";"20,12";"46,69";"44,23";"45,89";"55,34"
"150085 ANAPU";"75,55";"72,85";"75,48";"100,68";"56,05";"93,35";"74,91";"93,52";"94,20";"85,89";"81,39"
"150090 AUGUSTO CORREA";"66,54";"66,65";"60,49";"58,03";"43,54";"78,24";"36,71";"59,70";"57,56";"58,65";"58,03"
"150095 AURORA DO PARA";"85,07";"86,08";"80,73";"64,10";"61,12";"64,67";"32,56";"52,13";"61,37";"76,85";"64,95"
"150100 AVEIRO";"70,76";"58,00";"61,26";"74,57";"99,63";"79,72";"47,85";"64,33";"58,32";"149,05";"73,89"
"150110 BAGRE";"73,87";"66,28";"66,57";"89,79";"29,55";"60,51";"39,69";"34,64";"43,31";"75,52";"56,52"
"150120 BAIAO";"77,49";"91,79";"80,78";"72,88";"85,20";"81,01";"46,85";"70,85";"73,69";"71,95";"73,29"
"150125 BANNACH";"106,63";"99,04";"99,49";"98,84";"107,35";"132,66";"75,37";"105,69";"98,73";"85,62";"99,70"
"150130 BARCARENA";"84,34";"96,61";"91,43";"74,60";"64,11";"80,87";"53,78";"68,78";"65,24";"81,39";"74,46"
"150140 BELEM";"76,95";"84,54";"69,47";"64,82";"72,34";"50,81";"38,78";"57,19";"64,64";"68,99";"63,48"
"150145 BELTERRA";"87,39";"95,22";"109,04";"123,49";"98,74";"107,84";"71,87";"93,66";"82,59";"108,10";"95,75"
"150150 BENEVIDES";"81,60";"79,82";"84,13";"58,87";"82,44";"64,45";"37,62";"51,57";"57,09";"43,72";"62,53"
"150157 BOM JESUS DO TOCANTINS";"75,44";"90,59";"82,89";"71,49";"69,05";"77,75";"41,36";"90,31";"79,73";"96,34";"75,36"
"150160 BONITO";"73,15";"75,22";"58,07";"71,68";"53,80";"101,61";"57,00";"64,99";"65,00";"71,87";"68,34"
"150170 BRAGANCA";"87,24";"87,71";"76,51";"75,72";"91,11";"68,69";"40,00";"54,76";"60,71";"67,03";"70,39"
"150172 BRASIL NOVO";"119,48";"107,62";"99,13";"84,59";"82,17";"84,30";"56,79";"63,65";"88,99";"79,57";"84,85"
"150175 BREJO GRANDE DO ARAGUAIA";"84,94";"101,06";"71,68";"71,07";"52,97";"78,13";"53,94";"81,65";"104,96";"85,71";"76,73"
"150178 BREU BRANCO";"74,38";"64,44";"66,87";"77,68";"62,40";"77,49";"28,73";"49,21";"48,20";"37,15";"57,42"
"150180 BREVES";"90,24";"97,77";"116,62";"54,85";"31,23";"38,22";"24,90";"31,61";"29,87";"33,09";"50,07"
"150190 BUJARU";"80,90";"76,30";"82,71";"65,29";"77,67";"82,78";"46,64";"69,19";"81,91";"74,06";"72,65"
