"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"431402 PARAISO DO SUL";"66,33";"74,49";"57,15";"71,07";"80,03";"100,85";"68,07";"90,21";"65,30";"81,83";"73,98"
"431403 PARECI NOVO";"62,77";"84,48";"109,48";"116,69";"71,77";"132,58";"75,42";"82,48";"111,70";"88,61";"89,88"
"431405 PAROBE";"81,79";"79,41";"69,86";"75,24";"74,96";"100,73";"50,97";"76,09";"87,81";"87,16";"77,26"
"431406 PASSA SETE";"71,63";"101,70";"68,74";"80,76";"118,89";"124,94";"60,79";"83,13";"118,14";"87,29";"87,19"
"431407 PASSO DO SOBRADO";"68,09";"107,00";"113,80";"92,50";"71,75";"41,43";"74,19";"79,94";"61,07";"91,11";"77,46"
"431410 PASSO FUNDO";"63,34";"82,88";"74,93";"62,61";"84,00";"105,04";"53,97";"81,53";"81,89";"82,24";"74,98"
"431413 PAULO BENTO";"58,31";"55,11";"50,20";"61,81";"107,57";"92,51";"87,11";"113,50";"96,76";"73,56";"73,92"
"431415 PAVERAMA";"64,74";"76,16";"88,40";"103,00";"83,79";"93,70";"68,32";"72,95";"96,71";"133,79";"85,25"
"431417 PEDRAS ALTAS";"56,53";"41,57";"21,78";"94,31";"105,80";"29,77";"88,64";"171,65";"66,43";"71,74";"64,47"
"431420 PEDRO OSORIO";"63,67";"71,63";"52,38";"47,97";"84,75";"79,67";"38,41";"48,48";"41,26";"64,33";"59,32"
"431430 PEJUCARA";"83,65";"141,75";"95,53";"81,23";"75,20";"66,64";"84,08";"86,67";"101,56";"104,81";"88,43"
"431440 PELOTAS";"61,26";"69,65";"63,98";"61,20";"80,17";"79,49";"25,37";"35,54";"58,24";"68,10";"58,64"
"431442 PICADA CAFE";"75,86";"136,57";"122,37";"85,83";"84,25";"110,39";"57,87";"63,59";"90,14";"87,59";"85,21"
"431445 PINHAL";"75,79";"88,89";"71,40";"108,89";"104,13";"74,88";"86,90";"67,57";"212,21";"105,65";"91,86"
"431446 PINHAL DA SERRA";"85,23";"203,54";"176,36";"66,39";"125,54";"110,55";"80,84";"75,59";"102,68";"107,38";"100,75"
"431447 PINHAL GRANDE";"77,78";"94,44";"56,81";"90,39";"104,35";"121,85";"78,95";"98,97";"71,60";"51,69";"83,28"
"431449 PINHEIRINHO DO VALE";"85,21";"102,50";"90,92";"80,53";"76,50";"126,70";"83,98";"100,94";"88,19";"85,35";"90,23"
"431450 PINHEIRO MACHADO";"68,82";"82,49";"62,06";"72,68";"75,05";"98,07";"27,64";"42,10";"37,46";"67,03";"62,46"
"431454 PINTO BANDEIRA";"0";"0";"0";"0";"0";"67,19";"52,37";"68,54";"57,75";"68,65";"64,72"
"431455 PIRAPO";"79,66";"81,88";"61,33";"59,63";"121,96";"98,56";"45,77";"68,03";"92,58";"95,60";"78,39"
"431460 PIRATINI";"56,98";"70,73";"55,09";"56,31";"83,42";"90,59";"59,52";"74,00";"71,23";"63,79";"66,79"
"431470 PLANALTO";"116,80";"150,75";"117,93";"65,05";"89,62";"101,62";"64,92";"86,26";"98,84";"81,52";"93,79"
"431475 POCO DAS ANTAS";"66,45";"96,94";"85,26";"58,98";"119,09";"173,43";"96,58";"90,89";"92,22";"176,11";"96,15"
"431477 PONTAO";"86,71";"72,22";"58,19";"107,25";"99,25";"132,44";"48,50";"29,46";"66,63";"88,00";"80,14"
"431478 PONTE PRETA";"61,74";"67,65";"51,76";"42,39";"111,20";"129,75";"99,29";"117,97";"99,66";"81,66";"79,35"
"431480 PORTAO";"73,16";"99,02";"93,78";"89,23";"109,98";"91,21";"63,30";"73,18";"76,65";"88,47";"83,82"
"431490 PORTO ALEGRE";"58,66";"73,28";"66,70";"60,62";"74,49";"79,40";"37,19";"66,57";"72,36";"72,81";"63,48"
"431500 PORTO LUCENA";"67,82";"95,52";"89,86";"71,35";"83,97";"96,49";"66,79";"88,23";"103,04";"77,05";"80,35"
"431505 PORTO MAUA";"69,60";"94,44";"76,67";"78,85";"77,29";"151,01";"88,22";"80,47";"66,67";"158,44";"86,66"
"431507 PORTO VERA CRUZ";"72,07";"154,86";"78,12";"53,48";"180,00";"113,13";"79,55";"91,48";"88,93";"108,60";"92,53"
"431510 PORTO XAVIER";"75,95";"107,54";"78,00";"87,69";"123,21";"116,81";"73,67";"79,79";"85,26";"90,39";"89,82"
"431513 POUSO NOVO";"66,23";"76,67";"38,68";"45,51";"90,99";"109,44";"89,71";"84,00";"138,17";"105,97";"81,19"
"431514 PRESIDENTE LUCENA";"74,13";"74,65";"62,01";"97,05";"105,66";"98,48";"82,86";"112,63";"103,05";"86,64";"88,86"
"431515 PROGRESSO";"74,77";"109,26";"84,00";"51,86";"96,44";"91,68";"70,25";"78,97";"73,94";"88,08";"80,49"
"431517 PROTASIO ALVES";"71,95";"132,32";"82,78";"125,36";"85,86";"123,86";"153,40";"141,60";"93,68";"68,03";"100,74"
"431520 PUTINGA";"94,84";"150,79";"102,62";"55,33";"111,64";"138,34";"83,78";"84,25";"111,45";"94,58";"98,40"
"431530 QUARAI";"56,66";"73,04";"54,54";"60,34";"74,27";"62,92";"35,54";"44,43";"55,99";"39,23";"54,78"
"431531 QUATRO IRMAOS";"73,31";"72,53";"80,70";"132,11";"46,43";"139,94";"76,78";"56,34";"107,31";"92,82";"81,26"
"431532 QUEVEDOS";"69,69";"85,07";"57,57";"100,72";"68,64";"92,80";"88,54";"71,87";"88,17";"55,27";"77,25"
"431535 QUINZE DE NOVEMBRO";"82,28";"103,33";"94,86";"132,48";"104,62";"159,74";"94,06";"100,64";"83,83";"93,33";"101,01"
"431540 REDENTORA";"69,61";"63,43";"65,78";"73,15";"77,25";"77,45";"49,39";"63,44";"87,85";"74,13";"69,05"
"431545 RELVADO";"75,44";"146,53";"107,24";"51,59";"170,65";"104,24";"74,45";"90,60";"119,53";"94,70";"92,45"
"431550 RESTINGA SECA";"66,79";"77,50";"66,22";"80,75";"74,22";"79,89";"33,43";"72,28";"69,01";"79,32";"68,16"
"431555 RIO DOS INDIOS";"65,32";"49,49";"49,28";"67,48";"67,18";"96,36";"64,78";"103,34";"88,43";"80,89";"70,47"
"431560 RIO GRANDE";"61,67";"76,92";"69,69";"67,66";"80,72";"76,93";"52,13";"66,79";"68,77";"71,81";"67,93"
"431570 RIO PARDO";"62,21";"70,46";"64,62";"78,40";"114,45";"99,12";"40,25";"49,34";"64,27";"76,42";"70,14"
"431575 RIOZINHO";"75,03";"97,65";"54,66";"85,70";"116,00";"100,72";"87,46";"91,71";"47,82";"78,86";"83,16"
"431580 ROCA SALES";"80,08";"86,54";"63,14";"58,34";"77,00";"111,54";"74,57";"86,83";"82,84";"105,90";"81,53"
"431590 RODEIO BONITO";"77,47";"88,21";"93,52";"94,25";"106,18";"81,93";"68,40";"92,16";"100,63";"82,83";"86,80"
"431595 ROLADOR";"81,39";"105,56";"84,69";"125,33";"127,17";"88,74";"87,03";"89,23";"92,49";"113,86";"97,24"
"431600 ROLANTE";"76,54";"92,74";"87,83";"83,28";"106,07";"87,98";"60,77";"80,21";"88,40";"88,65";"83,58"
"431610 RONDA ALTA";"76,47";"92,98";"88,80";"97,02";"78,57";"90,92";"78,21";"89,90";"104,93";"98,17";"87,88"
"431620 RONDINHA";"79,82";"99,29";"114,98";"121,84";"88,72";"118,00";"71,11";"64,05";"91,10";"108,35";"91,54"
"431630 ROQUE GONZALES";"76,37";"97,44";"73,82";"57,81";"98,70";"93,18";"87,76";"117,85";"95,11";"67,52";"84,35"
"431640 ROSARIO DO SUL";"64,10";"65,76";"60,28";"64,37";"80,06";"77,49";"57,67";"76,96";"76,34";"77,87";"69,27"
"431642 SAGRADA FAMILIA";"92,48";"169,93";"103,82";"123,30";"90,40";"110,18";"93,23";"88,09";"108,15";"99,81";"103,84"
"431643 SALDANHA MARINHO";"73,57";"113,64";"85,91";"95,50";"147,22";"109,40";"102,08";"107,66";"74,06";"105,88";"97,10"
"431645 SALTO DO JACUI";"79,96";"89,57";"59,06";"101,90";"134,71";"87,59";"64,38";"70,68";"67,98";"101,41";"84,56"
"431647 SALVADOR DAS MISSOES";"73,97";"91,39";"117,11";"103,31";"76,52";"130,95";"143,04";"142,22";"100,35";"102,87";"103,72"
"431650 SALVADOR DO SUL";"82,78";"132,09";"91,62";"143,57";"86,80";"102,38";"80,71";"108,46";"84,66";"101,28";"97,09"
"431660 SANANDUVA";"71,87";"94,74";"81,21";"60,64";"78,81";"89,67";"65,38";"86,93";"93,90";"75,04";"78,07"
"431670 SANTA BARBARA DO SUL";"74,23";"97,13";"77,75";"117,05";"113,02";"121,00";"73,70";"83,31";"101,07";"92,84";"92,57"
"431673 SANTA CECILIA DO SUL";"70,88";"97,98";"147,85";"81,02";"62,64";"121,82";"74,63";"80,00";"179,62";"78,88";"89,83"
"431675 SANTA CLARA DO SUL";"64,71";"80,78";"82,80";"114,66";"127,01";"66,57";"114,34";"123,51";"113,49";"105,16";"96,50"
"431680 SANTA CRUZ DO SUL";"65,43";"88,10";"76,52";"77,59";"92,10";"94,67";"58,36";"56,79";"60,92";"79,17";"73,94"
"431690 SANTA MARIA";"67,66";"85,67";"80,56";"71,32";"80,48";"87,74";"55,33";"84,73";"104,71";"86,42";"77,97"
"431695 SANTA MARIA DO HERVAL";"67,08";"105,42";"90,60";"49,11";"117,19";"116,11";"45,87";"55,82";"84,31";"22,50";"68,43"
"431697 SANTA MARGARIDA DO SUL";"49,08";"55,03";"63,16";"65,04";"108,87";"62,54";"46,38";"81,78";"73,02";"103,84";"67,82"
"431700 SANTANA DA BOA VISTA";"66,42";"66,93";"67,80";"99,46";"78,88";"106,29";"44,50";"29,46";"29,22";"16,24";"61,78"
"431710 SANT\'ANA DO LIVRAMENTO";"67,46";"67,05";"58,17";"70,87";"104,37";"89,77";"42,30";"68,10";"69,28";"64,38";"69,37"
"431720 SANTA ROSA";"72,54";"95,92";"89,06";"79,06";"93,31";"105,89";"64,91";"95,40";"99,89";"104,72";"87,74"
"431725 SANTA TEREZA";"75,59";"98,99";"20,10";"286,96";"143,48";"131,31";"117,72";"124,70";"83,60";"121,76";"101,59"
"431730 SANTA VITORIA DO PALMAR";"67,36";"67,17";"72,22";"72,46";"104,03";"86,17";"44,61";"69,02";"66,13";"65,02";"70,56"
"431740 SANTIAGO";"71,16";"86,51";"76,07";"72,90";"83,14";"88,25";"67,49";"88,32";"81,57";"80,81";"78,34"
"431750 SANTO ANGELO";"69,72";"81,30";"76,99";"89,71";"106,55";"89,59";"63,87";"85,83";"90,17";"87,23";"82,93"
"431755 SANTO ANTONIO DO PALMA";"65,56";"67,31";"69,23";"63,13";"89,48";"53,50";"101,79";"148,45";"119,82";"129,55";"82,73"
"431760 SANTO ANTONIO DA PATRULHA";"68,25";"87,80";"64,19";"67,91";"95,08";"96,46";"65,37";"85,62";"92,22";"98,68";"80,86"
"431770 SANTO ANTONIO DAS MISSOES";"85,10";"105,12";"97,96";"78,05";"138,34";"72,40";"31,30";"74,02";"89,24";"82,59";"83,83"
"431775 SANTO ANTONIO DO PLANALTO";"58,15";"82,30";"67,45";"53,46";"91,02";"52,77";"90,07";"79,57";"93,79";"100,28";"72,67"
"431780 SANTO AUGUSTO";"65,22";"80,72";"70,18";"101,00";"65,29";"90,45";"61,88";"75,91";"85,50";"77,20";"75,57"
"431790 SANTO CRISTO";"72,30";"92,58";"80,22";"79,42";"113,96";"98,78";"67,10";"73,15";"98,76";"103,98";"85,93"
"431795 SANTO EXPEDITO DO SUL";"89,38";"125,56";"73,00";"54,87";"38,32";"11,76";"10,37";"55,16";"76,54";"52,89";"60,41"
"431800 SAO BORJA";"69,63";"82,26";"75,73";"74,07";"88,65";"97,65";"67,18";"80,08";"82,96";"81,32";"78,96"
"431805 SAO DOMINGOS DO SUL";"65,88";"87,24";"83,04";"88,41";"105,39";"174,43";"99,17";"101,56";"83,12";"75,60";"90,17"
"431810 SAO FRANCISCO DE ASSIS";"73,40";"84,36";"72,30";"68,41";"94,25";"121,30";"55,08";"70,55";"85,14";"81,81";"78,43"
"431820 SAO FRANCISCO DE PAULA";"67,54";"78,79";"72,88";"74,44";"97,40";"84,67";"59,65";"79,16";"73,60";"79,32";"75,74"
"431830 SAO GABRIEL";"69,40";"83,65";"77,02";"83,15";"73,75";"73,47";"56,92";"84,34";"82,37";"80,25";"75,00"
"431840 SAO JERONIMO";"66,45";"77,46";"69,28";"71,47";"68,59";"89,28";"63,70";"74,72";"72,36";"72,37";"71,64"
"431842 SAO JOAO DA URTIGA";"72,30";"90,69";"64,40";"63,81";"159,64";"125,67";"90,74";"100,34";"98,02";"117,57";"94,38"
"431843 SAO JOAO DO POLESINE";"75,86";"125,69";"112,50";"70,05";"116,67";"133,95";"75,97";"74,96";"107,04";"78,80";"91,34"
"431844 SAO JORGE";"81,11";"70,45";"86,36";"137,07";"164,82";"147,59";"93,09";"75,82";"94,93";"80,50";"99,92"
"431845 SAO JOSE DAS MISSOES";"67,93";"72,38";"56,57";"116,05";"78,49";"82,95";"83,89";"89,14";"87,70";"89,03";"80,18"
"431846 SAO JOSE DO HERVAL";"69,13";"66,67";"63,79";"62,43";"122,96";"124,75";"76,50";"81,70";"99,74";"111,04";"83,98"
"431848 SAO JOSE DO HORTENCIO";"68,02";"62,13";"57,79";"126,84";"108,37";"97,68";"64,69";"74,86";"97,65";"89,14";"81,88"
"431849 SAO JOSE DO INHACORA";"69,53";"88,89";"53,44";"106,32";"124,62";"158,79";"81,96";"84,92";"125,31";"66,56";"90,20"
"431850 SAO JOSE DO NORTE";"62,86";"73,30";"62,60";"58,98";"75,01";"97,84";"55,97";"79,15";"70,44";"72,62";"69,13"
"431860 SAO JOSE DO OURO";"71,36";"86,65";"77,56";"81,37";"99,54";"96,99";"66,82";"81,70";"117,63";"81,54";"84,13"
"431861 SAO JOSE DO SUL";"74,10";"122,84";"101,75";"76,48";"82,42";"194,16";"145,58";"131,75";"88,65";"130,49";"107,32"
"431862 SAO JOSE DOS AUSENTES";"90,76";"113,82";"94,47";"160,10";"147,46";"97,20";"97,46";"116,93";"107,06";"105,32";"110,37"
"431870 SAO LEOPOLDO";"63,61";"71,04";"62,99";"66,36";"88,20";"89,95";"59,66";"75,32";"78,25";"74,74";"72,29"
"431880 SAO LOURENCO DO SUL";"68,14";"82,47";"81,38";"73,69";"74,12";"86,50";"35,23";"61,05";"70,39";"61,96";"66,68"
"431890 SAO LUIZ GONZAGA";"73,75";"97,17";"74,02";"86,23";"99,33";"89,47";"73,78";"91,09";"81,59";"92,58";"84,63"
"431900 SAO MARCOS";"69,26";"94,66";"71,94";"110,93";"124,10";"90,43";"66,45";"72,09";"93,33";"143,68";"91,14"
"431910 SAO MARTINHO";"68,70";"116,91";"91,00";"70,01";"89,73";"90,62";"107,31";"112,58";"82,10";"113,91";"90,50"
"431912 SAO MARTINHO DA SERRA";"70,34";"67,71";"58,12";"88,98";"95,45";"90,03";"79,21";"79,39";"62,97";"66,67";"75,13"
"431915 SAO MIGUEL DAS MISSOES";"79,41";"75,33";"59,59";"71,00";"95,18";"97,12";"65,06";"72,38";"92,39";"72,47";"77,89"
"431920 SAO NICOLAU";"79,11";"103,90";"82,17";"102,21";"76,32";"112,23";"114,62";"129,76";"77,10";"78,61";"92,52"
"431930 SAO PAULO DAS MISSOES";"75,13";"110,42";"107,57";"73,99";"77,97";"119,98";"60,26";"66,57";"68,62";"91,04";"81,85"
"431935 SAO PEDRO DA SERRA";"80,68";"84,08";"53,92";"167,15";"121,96";"88,93";"101,65";"120,43";"117,09";"111,43";"102,20"
"431936 SAO PEDRO DAS MISSOES";"67,25";"75,79";"83,27";"78,79";"71,92";"103,25";"85,05";"91,21";"77,93";"63,33";"78,52"
"431937 SAO PEDRO DO BUTIA";"73,12";"68,20";"59,71";"95,22";"95,56";"141,56";"68,61";"72,00";"130,74";"102,62";"86,55"
"431940 SAO PEDRO DO SUL";"67,59";"72,81";"66,49";"66,30";"91,99";"102,43";"72,44";"92,12";"85,76";"86,08";"78,70"
"431950 SAO SEBASTIAO DO CAI";"61,03";"61,37";"46,17";"70,91";"63,28";"76,92";"56,23";"67,69";"72,50";"82,59";"65,40"
"431960 SAO SEPE";"71,12";"78,15";"71,92";"75,75";"83,26";"73,77";"58,68";"74,17";"100,72";"76,74";"74,96"
"431970 SAO VALENTIM";"65,65";"75,81";"38,39";"50,81";"81,89";"121,89";"72,96";"80,03";"68,29";"90,70";"73,01"
"431971 SAO VALENTIM DO SUL";"71,17";"89,74";"109,23";"238,26";"339,09";"637,88";"100,00";"70,67";"53,40";"131,88";"109,91"
"431973 SAO VALERIO DO SUL";"94,47";"101,30";"95,79";"76,48";"52,00";"27,16";"34,02";"98,66";"90,21";"88,27";"72,98"
"431975 SAO VENDELINO";"71,19";"90,28";"87,83";"132,88";"81,30";"82,47";"93,80";"105,52";"118,18";"99,31";"94,20"
"431980 SAO VICENTE DO SUL";"81,20";"71,02";"73,38";"82,56";"72,68";"73,63";"33,56";"79,45";"87,59";"71,25";"70,85"
"431990 SAPIRANGA";"73,71";"78,45";"74,02";"64,00";"77,82";"86,51";"44,49";"52,82";"62,54";"54,24";"66,01"
"432000 SAPUCAIA DO SUL";"71,41";"87,37";"69,49";"64,61";"57,78";"85,60";"43,19";"66,39";"69,51";"71,11";"66,38"
"432010 SARANDI";"68,84";"85,61";"77,49";"81,54";"75,25";"93,20";"70,24";"92,45";"105,98";"88,75";"82,36"
"432020 SEBERI";"63,99";"78,06";"52,82";"50,78";"104,13";"114,64";"59,75";"78,78";"95,30";"87,42";"76,41"
"432023 SEDE NOVA";"67,91";"92,42";"65,00";"92,75";"67,45";"111,67";"82,21";"73,31";"108,85";"110,96";"84,95"
"432026 SEGREDO";"84,02";"119,35";"76,10";"67,90";"87,60";"114,29";"82,23";"118,22";"82,04";"112,00";"91,67"
"432030 SELBACH";"73,83";"92,33";"90,10";"126,51";"103,93";"120,41";"94,66";"90,55";"100,00";"95,41";"96,92"
"432032 SENADOR SALGADO FILHO";"74,36";"92,19";"69,69";"52,30";"110,08";"148,42";"72,11";"69,06";"89,37";"78,83";"81,39"
"432035 SENTINELA DO SUL";"60,05";"58,15";"48,68";"61,00";"63,87";"62,79";"61,40";"72,60";"89,35";"84,30";"65,27"
"432040 SERAFINA CORREA";"78,63";"119,07";"97,93";"67,71";"89,39";"115,37";"80,69";"93,72";"82,51";"79,61";"87,57"
"432045 SERIO";"75,61";"85,56";"47,50";"64,67";"174,34";"64,34";"103,48";"130,88";"115,50";"74,36";"87,38"
"432050 SERTAO";"79,17";"98,66";"86,84";"93,44";"116,07";"62,42";"64,80";"94,80";"100,70";"91,29";"86,86"
"432055 SERTAO SANTANA";"78,89";"61,44";"57,58";"82,85";"94,79";"93,30";"62,02";"86,15";"104,41";"81,03";"79,84"
"432057 SETE DE SETEMBRO";"79,29";"76,47";"51,39";"137,83";"113,04";"171,97";"99,13";"84,62";"79,79";"86,99";"93,03"
"432060 SEVERIANO DE ALMEIDA";"70,29";"110,22";"101,19";"46,69";"88,33";"132,92";"103,60";"107,33";"71,32";"98,25";"87,88"
"432065 SILVEIRA MARTINS";"59,92";"59,86";"40,41";"92,66";"87,30";"63,17";"64,42";"67,59";"88,75";"91,42";"69,03"
"432067 SINIMBU";"58,58";"64,53";"58,96";"81,10";"73,36";"131,30";"53,60";"82,80";"80,72";"88,93";"72,67"
"432070 SOBRADINHO";"72,54";"80,63";"74,26";"72,46";"95,24";"109,15";"74,40";"87,40";"101,19";"91,02";"84,28"
"432080 SOLEDADE";"70,02";"87,48";"77,72";"66,64";"92,55";"77,66";"61,80";"81,38";"84,14";"80,91";"76,58"
"432085 TABAI";"76,15";"89,19";"43,92";"82,69";"32,41";"126,02";"85,98";"105,31";"95,23";"72,87";"79,69"
"432090 TAPEJARA";"87,74";"131,50";"97,95";"94,59";"87,60";"98,81";"74,60";"91,55";"92,27";"98,14";"92,94"
"432100 TAPERA";"82,07";"98,69";"78,69";"82,78";"71,77";"71,62";"56,34";"67,57";"60,24";"58,09";"71,91"
"432110 TAPES";"84,19";"78,87";"67,22";"75,34";"89,14";"125,43";"60,89";"73,19";"55,57";"72,25";"78,44"
"432120 TAQUARA";"67,87";"75,15";"73,81";"74,37";"89,12";"46,40";"14,97";"38,89";"53,39";"69,58";"58,91"
"432130 TAQUARI";"66,02";"75,03";"58,32";"49,03";"91,05";"98,01";"56,99";"60,28";"55,07";"76,93";"67,86"
"432132 TAQUARUCU DO SUL";"77,96";"81,11";"94,67";"88,78";"85,94";"93,05";"86,89";"117,38";"80,64";"81,18";"87,39"
"432135 TAVARES";"60,61";"51,94";"46,00";"41,21";"85,54";"76,65";"92,41";"83,50";"127,19";"107,12";"75,95"
"432140 TENENTE PORTELA";"67,02";"84,35";"74,49";"68,68";"89,61";"87,52";"72,84";"83,59";"94,23";"85,22";"79,74"
"432143 TERRA DE AREIA";"65,88";"75,38";"58,09";"54,46";"52,14";"82,42";"75,93";"103,68";"96,58";"97,27";"74,97"
"432145 TEUTONIA";"66,32";"105,59";"98,42";"72,75";"85,96";"108,51";"82,96";"91,57";"106,12";"101,33";"89,61"
"432146 TIO HUGO";"78,77";"102,38";"121,62";"108,59";"103,72";"99,30";"74,97";"98,23";"95,63";"109,32";"96,85"
"432147 TIRADENTES DO SUL";"59,97";"90,51";"93,78";"56,66";"69,48";"107,75";"82,98";"80,88";"77,79";"109,88";"78,31"
"432149 TOROPI";"77,40";"105,09";"63,96";"68,38";"103,78";"149,73";"81,08";"77,19";"109,85";"59,57";"85,67"
"432150 TORRES";"87,74";"82,08";"79,21";"89,62";"73,60";"97,68";"58,31";"88,04";"80,33";"93,67";"81,94"
"432160 TRAMANDAI";"81,49";"108,35";"50,07";"85,88";"96,49";"74,44";"49,25";"66,07";"78,22";"67,04";"74,45"
"432162 TRAVESSEIRO";"65,33";"84,13";"104,14";"55,56";"74,53";"160,61";"59,57";"94,22";"93,70";"72,18";"78,73"
"432163 TRES ARROIOS";"78,77";"103,24";"114,04";"91,93";"87,70";"228,98";"97,36";"95,71";"67,20";"83,74";"94,60"
"432166 TRES CACHOEIRAS";"53,98";"71,72";"82,46";"97,10";"77,06";"90,75";"68,44";"84,11";"95,31";"94,84";"79,66"
"432170 TRES COROAS";"71,86";"92,47";"95,71";"73,91";"91,53";"90,45";"66,75";"76,37";"90,77";"91,05";"82,41"
"432180 TRES DE MAIO";"74,48";"93,58";"91,24";"79,07";"110,89";"69,91";"49,17";"81,98";"89,24";"84,80";"80,01"
"432183 TRES FORQUILHAS";"67,81";"79,80";"63,32";"72,43";"126,06";"118,32";"134,98";"102,40";"79,75";"138,95";"95,32"
"432185 TRES PALMEIRAS";"76,48";"72,11";"69,37";"153,87";"96,83";"78,66";"83,09";"96,78";"111,13";"68,64";"88,25"
"432190 TRES PASSOS";"58,46";"88,98";"84,89";"60,32";"75,36";"84,08";"64,12";"76,20";"86,85";"84,39";"74,23"
"432195 TRINDADE DO SUL";"73,88";"93,32";"93,12";"108,39";"98,86";"127,21";"77,20";"95,29";"94,49";"90,83";"92,95"
"432200 TRIUNFO";"72,47";"79,47";"71,63";"69,90";"74,45";"83,04";"73,57";"81,14";"85,10";"85,01";"76,88"
"432210 TUCUNDUVA";"79,65";"108,94";"92,93";"63,24";"165,40";"106,16";"79,46";"78,47";"102,97";"85,35";"92,37"
"432215 TUNAS";"85,59";"89,60";"66,17";"106,24";"112,37";"99,32";"111,76";"100,69";"98,40";"73,14";"93,67"
"432218 TUPANCI DO SUL";"84,58";"64,44";"80,35";"181,37";"85,56";"103,15";"48,43";"48,67";"108,07";"88,31";"81,76"
"432220 TUPANCIRETA";"78,04";"79,11";"72,24";"102,61";"81,01";"102,88";"59,52";"28,25";"47,36";"84,68";"73,32"
"432225 TUPANDI";"79,24";"112,43";"105,64";"77,70";"125,22";"127,27";"71,91";"87,73";"87,81";"131,59";"97,41"
"432230 TUPARENDI";"75,46";"103,42";"69,77";"112,98";"99,58";"105,17";"76,41";"77,92";"76,26";"93,28";"86,87"
"432232 TURUCU";"62,15";"47,74";"38,40";"61,96";"95,63";"151,27";"62,18";"52,49";"62,94";"57,54";"66,06"
"432234 UBIRETAMA";"102,47";"255,56";"171,05";"74,33";"79,55";"98,93";"85,37";"69,48";"101,60";"78,98";"97,77"
"432235 UNIAO DA SERRA";"68,93";"80,25";"50,56";"192,75";"109,94";"70,87";"121,60";"140,22";"45,88";"148,91";"88,35"
"432237 UNISTALDA";"89,21";"113,89";"96,75";"78,74";"123,72";"125,52";"87,74";"82,66";"115,54";"96,46";"98,74"
"432240 URUGUAIANA";"69,49";"94,90";"81,84";"82,87";"68,19";"111,00";"59,03";"64,59";"81,78";"81,15";"77,54"
"432250 VACARIA";"67,95";"88,30";"77,45";"73,82";"76,57";"96,23";"67,30";"83,95";"83,80";"81,21";"78,26"
"432252 VALE VERDE";"65,34";"83,18";"44,38";"54,19";"103,10";"143,39";"70,92";"88,62";"75,16";"67,09";"75,19"
"432253 VALE DO SOL";"69,19";"89,43";"72,38";"93,28";"123,94";"66,31";"52,53";"62,25";"84,86";"97,13";"77,44"
"432254 VALE REAL";"76,72";"95,13";"71,17";"86,96";"131,71";"95,22";"67,26";"85,40";"83,72";"92,89";"87,37"
"432255 VANINI";"84,71";"107,64";"114,14";"75,57";"72,03";"106,06";"89,07";"97,72";"83,33";"85,55";"89,05"
"432260 VENANCIO AIRES";"65,17";"91,42";"85,47";"83,07";"93,20";"107,06";"53,13";"46,81";"87,69";"88,22";"77,55"
"432270 VERA CRUZ";"69,84";"95,72";"88,73";"76,28";"81,32";"90,78";"67,47";"93,84";"89,46";"93,79";"82,49"
"432280 VERANOPOLIS";"77,91";"109,02";"97,30";"118,69";"91,33";"94,42";"69,12";"81,49";"88,75";"101,30";"90,08"
"432285 VESPASIANO CORREA";"66,24";"112,65";"52,63";"84,78";"142,73";"117,05";"88,14";"135,22";"118,10";"60,09";"88,76"
"432290 VIADUTOS";"79,59";"85,71";"86,34";"80,54";"78,10";"112,64";"55,57";"71,98";"107,74";"89,43";"81,92"
"432300 VIAMAO";"59,06";"60,02";"50,00";"62,88";"75,46";"77,27";"50,23";"57,81";"33,11";"48,63";"57,76"
"432310 VICENTE DUTRA";"82,61";"93,47";"70,82";"69,43";"73,31";"123,18";"75,77";"100,81";"87,16";"93,43";"85,14"
"432320 VICTOR GRAEFF";"75,64";"98,50";"51,82";"71,57";"130,66";"64,19";"72,09";"65,24";"99,57";"96,73";"79,53"
"432330 VILA FLORES";"97,21";"162,09";"145,59";"104,95";"111,43";"108,03";"95,02";"93,44";"115,65";"73,43";"103,74"
"432335 VILA LANGARO";"62,61";"51,11";"66,00";"141,14";"95,88";"111,74";"71,22";"78,75";"74,61";"95,34";"79,97"
"432340 VILA MARIA";"68,54";"116,48";"89,66";"62,32";"101,27";"105,45";"95,67";"97,81";"90,69";"97,34";"88,27"
"432345 VILA NOVA DO SUL";"76,25";"114,77";"99,34";"78,49";"82,35";"111,44";"101,92";"122,69";"108,23";"81,83";"93,33"
"432350 VISTA ALEGRE";"70,82";"76,71";"68,27";"49,82";"177,27";"106,13";"52,83";"75,95";"121,61";"88,72";"82,21"
"432360 VISTA ALEGRE DO PRATA";"66,94";"80,00";"45,61";"76,09";"93,13";"396,59";"75,54";"75,54";"88,84";"142,45";"86,72"
"432370 VISTA GAUCHA";"112,91";"96,50";"143,47";"59,92";"54,23";"99,43";"87,66";"69,45";"103,06";"80,97";"90,16"
"432375 VITORIA DAS MISSOES";"79,24";"118,84";"86,27";"146,86";"70,72";"75,88";"79,66";"113,48";"126,65";"98,40";"92,82"
"432377 WESTFALIA";"79,58";"111,38";"114,52";"108,39";"92,25";"74,44";"107,89";"123,05";"81,33";"89,19";"94,13"
